1 192 192
4.547166273e-02 9.545283378e-01 9.928010181e+01 8.374434440e+00 
4.559899029e-02 9.544010105e-01 9.925475465e+01 8.374552764e+00 
4.576424051e-02 9.542357604e-01 9.922199171e+01 8.374839842e+00 
4.596858557e-02 9.540314156e-01 9.918168037e+01 8.375397478e+00 
4.621347454e-02 9.537865269e-01 9.913365584e+01 8.376350708e+00 
4.650064341e-02 9.534993583e-01 9.907771947e+01 8.377848085e+00 
4.683212712e-02 9.531678748e-01 9.901363662e+01 8.380061951e+00 
4.721027365e-02 9.527897284e-01 9.894113405e+01 8.383188657e+00 
4.763776028e-02 9.523622418e-01 9.885989678e+01 8.387448700e+00 
4.811761218e-02 9.518823899e-01 9.876956443e+01 8.393086723e+00 
4.865322340e-02 9.513467786e-01 9.866972681e+01 8.400371352e+00 
4.924838054e-02 9.507516213e-01 9.855991882e+01 8.409594810e+00 
4.990728905e-02 9.500927125e-01 9.843961454e+01 8.421072259e+00 
5.063460269e-02 9.493653986e-01 9.830822035e+01 8.435140828e+00 
5.143545607e-02 9.485645449e-01 9.816506709e+01 8.452158274e+00 
5.231550068e-02 9.476845000e-01 9.800940109e+01 8.472501232e+00 
5.328094473e-02 9.467190557e-01 9.784037403e+01 8.496563004e+00 
5.433859691e-02 9.456614033e-01 9.765703142e+01 8.524750863e+00 
5.549591466e-02 9.445040854e-01 9.745829982e+01 8.557482833e+00 
5.676105701e-02 9.432389430e-01 9.724297246e+01 8.595183946e+00 
5.814294260e-02 9.418570574e-01 9.700969336e+01 8.638281963e+00 
5.965131310e-02 9.403486870e-01 9.675693990e+01 8.687202604e+00 
6.129680242e-02 9.387031978e-01 9.648300377e+01 8.742364326e+00 
6.309101201e-02 9.369089883e-01 9.618597028e+01 8.804172747e+00 
6.504659264e-02 9.349534078e-01 9.586369627e+01 8.873014856e+00 
6.717733264e-02 9.328226679e-01 9.551378661e+01 8.949253191e+00 
6.949825285e-02 9.305017478e-01 9.513356964e+01 9.033220251e+00 
7.202570795e-02 9.279742928e-01 9.472007185e+01 9.125213474e+00 
7.477749394e-02 9.252225068e-01 9.426999241e+01 9.225491233e+00 
7.777296066e-02 9.222270402e-01 9.377967824e+01 9.334270397e+00 
8.103312837e-02 9.189668726e-01 9.324510047e+01 9.451726166e+00 
8.458080616e-02 9.154191949e-01 9.266183380e+01 9.577995051e+00 
8.844070944e-02 9.115592917e-01 9.202504014e+01 9.713182039e+00 
9.263957273e-02 9.073604286e-01 9.132945870e+01 9.857373244e+00 
9.720625235e-02 9.027937490e-01 9.056940506e+01 1.001065552e+01 
1.021718125e-01 8.978281889e-01 8.973878230e+01 1.017314480e+01 
1.075695860e-01 8.924304154e-01 8.883110790e+01 1.034502511e+01 
1.134351982e-01 8.865648030e-01 8.783956072e+01 1.052660039e+01 
1.198065426e-01 8.801934585e-01 8.675705288e+01 1.071836144e+01 
1.267236893e-01 8.732763115e-01 8.557633203e+01 1.092106997e+01 
1.342287110e-01 8.657712896e-01 8.429011945e+01 1.113586175e+01 
1.423654020e-01 8.576345985e-01 8.289128944e+01 1.136436996e+01 
1.511788692e-01 8.488211314e-01 8.137309473e+01 1.160886868e+01 
